Fan,Refrigerator,AirConditioner,Television,Monitor,MotorPump,Month,City,Company,MonthlyHours,TariffRate,ElectricityBill
23,22,2,11,1,0,4,Pune,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",419,9.1,3812.9
5,23,0,4,1,0,7,Vadodara,GE T&D India Limited,478,7.8,3728.4
12,23,3,16,1,0,7,Dahej,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),548,7.6,4164.8
8,23,3,3,1,0,4,Kolkata,NTPC Pvt. Ltd.,508,8.7,4419.6
10,20,0,7,1,0,12,Vadodara,NHPC,299,7.8,2332.2
17,22,3,18,1,0,7,Noida,Kalpataru Power,537,8.2,4403.4
11,22,2,10,1,0,12,Mumbai,Reliance Energy,473,9.2,4351.6
19,23,2,5,1,0,10,Ahmedabad,TransRail Lighting,449,7.9,3547.1
13,23,3,21,1,0,1,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,618,7.7,4758.6
22,23,0,22,1,0,9,Noida,Kalpataru Power,540,8.2,4428
12,23,1,20,1,0,4,Faridabad,L&T Transmission & Distribution,530,8.1,4293
19,23,2,6,1,0,3,Chennai,Power Grid Corp,578,8.8,5086.4
15,22,3,17,1,0,2,Ahmedabad,JSW Energy Ltd.,418,7.9,3302.2
10,22,0,12,7,0,2,Ratnagiri,Orient Green,406,7.4,3004.4
19,22,3,10,1,0,1,Navi Mumbai,Torrent Power Ltd.,521,9.3,4845.3
5,18,3,9,1,0,2,Ahmedabad,Tata Power Company Ltd.,458,7.9,3618.2
16,22,3,8,12,0,2,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,666,8.8,5860.8
7,17,3,14,1,0,8,Mumbai,Torrent Power Ltd.,325,9.2,2990
22,23,0,20,12,0,10,Navi Mumbai,Reliance Power,684,9.3,6361.2
19,23,0,14,1,0,2,Pune,L&T Transmission & Distribution,491,9.1,4468.1
7,20,2,13,1,0,12,Faridabad,Sterlite Power Transmission Ltd,528,8.1,4276.8
14,22,3,20,1,0,5,Dahej,Sunil Hitech Eng,742,7.6,5639.2
16,23,1,22,12,0,3,Navi Mumbai,SJVN Ltd.,768,9.3,7142.4
10,19,0,10,1,0,12,Kolkata,GE T&D India Limited,503,8.7,4376.1
7,17,1,18,7,0,11,Navi Mumbai,SJVN Ltd.,536,9.3,4984.8
9,19,1,12,1,0,1,Ratnagiri,Torrent Power Ltd.,472,7.4,3492.8
15,22,1,19,1,0,1,Dahej,CESC,634,7.6,4818.4
15,23,2,8,1,0,10,Hyderabad,Guj Ind Power,384,8.4,3225.6
12,22,2,11,1,0,3,New Delhi,CESC,438,8.5,3723
14,22,1,10,12,0,7,Faridabad,NHPC,701,8.1,5678.1
15,22,2,16,1,0,6,Gurgaon,Indowind Energy,462,8.3,3834.6
9,23,2,7,1,0,3,Ahmedabad,Bonfiglioli Transmission Pvt. Ltd.,601,7.9,4747.9
19,22,0,10,1,0,9,Ratnagiri,NLC India,408,7.4,3019.2
12,22,2,6,1,0,6,Hyderabad,Jaiprakash Power,463,8.4,3889.2
6,23,2,19,7,0,7,Hyderabad,SJVN Ltd.,602,8.4,5056.8
23,22,0,12,1,0,6,Shimla,Unitech Power Transmission Ltd.,635,7.7,4889.5
23,23,0,22,1,0,8,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,563,7.7,4335.1
18,23,3,12,1,0,8,Nagpur,Torrent Power Ltd.,726,8.9,6461.4
7,20,1,16,1,0,12,Chennai,TransRail Lighting,412,8.8,3625.6
7,21,3,22,1,0,12,Ahmedabad,Neueon Towers / Sujana Towers Ltd.,675,7.9,5332.5
11,22,2,13,1,0,9,Mumbai,Reliance Energy,385,9.2,3542
13,22,0,21,12,0,10,Dahej,Reliance Power,744,7.6,5654.4
13,22,1,18,1,0,4,Vadodara,Reliance Energy,410,7.8,3198
13,23,2,14,12,0,1,Dahej,KEC International,591,7.6,4491.6
7,23,1,14,1,0,4,Chennai,Reliance Power,521,8.8,4584.8
18,23,2,10,1,0,5,Chennai,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",596,8.8,5244.8
22,23,2,4,1,0,4,Gurgaon,Power Grid Corp,415,8.3,3444.5
16,23,0,8,1,0,12,Vadodara,NLC India,503,7.8,3923.4
7,17,3,17,1,0,10,Ahmedabad,L&T Transmission & Distribution,526,7.9,4155.4
13,22,0,12,1,0,6,Nagpur,NTPC Pvt. Ltd.,377,8.9,3355.3
14,22,2,6,1,0,3,Chennai,L&T Transmission & Distribution,376,8.8,3308.8
17,23,3,21,1,0,6,Nagpur,NTPC Pvt. Ltd.,724,8.9,6443.6
11,22,2,12,12,0,7,Faridabad,Reliance Power,707,8.1,5726.7
11,23,0,4,1,0,11,Kolkata,Jyoti Structure,365,8.7,3175.5
5,19,2,8,1,0,2,Gurgaon,Bonfiglioli Transmission Pvt. Ltd.,308,8.3,2556.4
16,23,3,5,1,0,8,Kolkata,Orient Green,543,8.7,4724.1
6,22,1,9,1,0,3,Gurgaon,Sunil Hitech Eng,355,8.3,2946.5
6,21,2,4,7,0,9,Vadodara,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,502,7.8,3915.6
5,19,2,16,1,0,8,Gurgaon,Guj Ind Power,455,8.3,3776.5
9,19,0,13,7,0,12,Ahmedabad,Guj Ind Power,543,7.9,4289.7
12,23,1,7,1,0,11,Faridabad,L&T Transmission & Distribution,461,8.1,3734.1
8,17,1,8,1,0,7,Chennai,Power Grid Corp,412,8.8,3625.6
15,22,3,16,12,0,9,Hyderabad,Neueon Towers / Sujana Towers Ltd.,633,8.4,5317.2
6,19,2,15,1,0,12,Pune,Jaiprakash Power,480,9.1,4368
9,17,0,11,7,0,5,Kolkata,CESC,348,8.7,3027.6
20,22,2,6,1,0,10,Vadodara,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),623,7.8,4859.4
12,22,3,9,1,0,3,Gurgaon,TransRail Lighting,465,8.3,3859.5
5,18,0,14,1,0,6,Gurgaon,Ringfeder Power Transmission India Pvt. Ltd.,371,8.3,3079.3
21,22,1,12,1,0,11,Ahmedabad,KEC International,561,7.9,4431.9
20,22,2,9,1,0,8,Chennai,Sunil Hitech Eng,673,8.8,5922.4
7,18,1,15,1,0,8,Ratnagiri,Ringfeder Power Transmission India Pvt. Ltd.,535,7.4,3959
12,22,3,6,12,0,4,Pune,Ringfeder Power Transmission India Pvt. Ltd.,513,9.1,4668.3
8,17,1,4,7,0,10,Ahmedabad,Indowind Energy,460,7.9,3634
20,23,2,12,1,0,8,Noida,Optibelt Power Transmission India Private Limited,483,8.2,3960.6
7,17,2,10,1,0,7,Hyderabad,Sunil Hitech Eng,370,8.4,3108
11,23,3,18,1,0,10,Hyderabad,Sunil Hitech Eng,678,8.4,5695.2
7,23,0,19,1,0,8,Shimla,Orient Green,459,7.7,3534.3
22,23,3,19,12,0,1,Dahej,Tata Power Company Ltd.,717,7.6,5449.2
21,22,2,15,1,0,7,Chennai,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,617,8.8,5429.6
5,22,3,9,1,0,5,Navi Mumbai,Tata Power Company Ltd.,488,9.3,4538.4
22,22,2,20,1,0,12,Ahmedabad,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,614,7.9,4850.6
21,23,3,13,1,0,11,Ratnagiri,Power Grid Corp,556,7.4,4114.4
6,18,0,9,1,0,8,Kolkata,Unitech Power Transmission Ltd.,301,8.7,2618.7
9,20,2,19,1,0,4,Pune,Unitech Power Transmission Ltd.,569,9.1,5177.9
9,21,3,22,1,0,8,Chennai,Sterlite Power Transmission Ltd,527,8.8,4637.6
16,22,1,3,1,0,11,Vadodara,Unitech Power Transmission Ltd.,322,7.8,2511.6
16,23,1,21,1,0,6,Dahej,TransRail Lighting,712,7.6,5411.2
6,18,0,17,1,0,10,Noida,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),442,8.2,3624.4
19,23,1,17,12,0,2,Noida,Orient Green,509,8.2,4173.8
11,23,3,20,1,0,1,Nagpur,Unitech Power Transmission Ltd.,648,8.9,5767.2
11,22,2,14,1,0,3,Chennai,KEC International,394,8.8,3467.2
15,22,2,14,1,0,6,Mumbai,Bonfiglioli Transmission Pvt. Ltd.,487,9.2,4480.4
21,23,2,5,1,0,2,Hyderabad,JSW Energy Ltd.,417,8.4,3502.8
10,23,2,19,1,0,12,Gurgaon,L&T Transmission & Distribution,504,8.3,4183.2
11,22,3,4,1,0,9,Kolkata,Jyoti Structure,503,8.7,4376.1
22,22,3,4,1,0,10,Vadodara,Kalpataru Power,503,7.8,3923.4
15,22,2,10,12,0,4,New Delhi,TransRail Lighting,514,8.5,4369
23,23,2,20,1,0,5,Dahej,Ringfeder Power Transmission India Pvt. Ltd.,741,7.6,5631.6
21,23,1,8,1,0,1,Vadodara,Power Grid Corp,407,7.8,3174.6
13,23,3,17,1,0,11,Pune,Sterlite Power Transmission Ltd,522,9.1,4750.2
18,22,2,14,1,0,10,Dahej,L&T Transmission & Distribution,506,7.6,3845.6
13,22,1,3,1,0,8,Chennai,KEC International,420,8.8,3696
22,23,0,15,12,0,11,Ratnagiri,NLC India,735,7.4,5439
13,23,2,21,12,0,11,Pune,Reliance Energy,577,9.1,5250.7
15,22,1,14,1,0,10,Pune,Reliance Energy,397,9.1,3612.7
21,23,3,12,1,0,7,Mumbai,KEC International,640,9.2,5888
13,23,2,9,1,0,4,Nagpur,"Maha Transco – Maharashtra State Electricity Transmission Co, Ltd.",395,8.9,3515.5
20,22,3,7,12,0,5,Dahej,Reliance Power,626,7.6,4757.6
14,23,1,13,12,0,7,Ratnagiri,Sunil Hitech Eng,749,7.4,5542.6
8,20,3,13,7,0,8,Hyderabad,Kalpataru Power,594,8.4,4989.6
7,17,2,16,7,0,8,Nagpur,Neueon Towers / Sujana Towers Ltd.,570,8.9,5073
23,22,1,16,12,0,9,Mumbai,Orient Green,719,9.2,6614.8
12,23,1,5,1,0,11,Mumbai,Power Grid Corp,468,9.2,4305.6
18,23,1,11,1,0,6,Noida,Optibelt Power Transmission India Private Limited,589,8.2,4829.8
23,23,3,13,1,0,3,Dahej,NTPC Pvt. Ltd.,689,7.6,5236.4
12,23,3,17,12,0,12,Pune,NLC India,802,9.1,7298.2
11,22,2,20,1,0,2,Pune,Reliance Energy,650,9.1,5915
17,22,0,10,1,0,4,Hyderabad,L&T Transmission & Distribution,308,8.4,2587.2
21,23,3,19,1,0,11,Gurgaon,Adani Power Ltd.,743,8.3,6166.9
15,23,0,17,1,0,10,Chennai,NHPC,528,8.8,4646.4
8,22,3,11,1,0,10,Vadodara,Reliance Power,600,7.8,4680
14,22,0,6,1,0,9,Chennai,TransRail Lighting,512,8.8,4505.6
18,22,2,7,1,0,4,New Delhi,L&T Transmission & Distribution,491,8.5,4173.5
22,22,1,11,1,0,8,Chennai,SJVN Ltd.,486,8.8,4276.8
8,23,0,5,1,0,12,Gurgaon,Tata Power Company Ltd.,267,8.3,2216.1
7,20,1,11,1,0,5,Kolkata,Reliance Energy,299,8.7,2601.3
23,22,1,10,1,0,3,Kolkata,Indowind Energy,449,8.7,3906.3
11,23,0,9,12,0,11,Kolkata,NHPC,602,8.7,5237.4
12,23,2,20,12,0,1,Navi Mumbai,Power Grid Corp,713,9.3,6630.9
17,23,1,20,1,0,11,Kolkata,NHPC,626,8.7,5446.2
9,17,3,5,7,0,9,New Delhi,NHPC,383,8.5,3255.5
12,22,0,3,1,0,3,Gurgaon,Jyoti Structure,246,8.3,2041.8
19,23,2,4,1,0,2,Nagpur,Neueon Towers / Sujana Towers Ltd.,564,8.9,5019.6
19,22,3,14,1,0,1,Noida,Indowind Energy,527,8.2,4321.4
15,23,3,19,1,0,8,Pune,NTPC Pvt. Ltd.,515,9.1,4686.5
8,18,3,19,1,0,1,Ratnagiri,JSW Energy Ltd.,424,7.4,3137.6
11,22,3,14,1,0,5,Ratnagiri,Indowind Energy,427,7.4,3159.8
17,23,1,9,1,0,7,Chennai,Indowind Energy,568,8.8,4998.4
14,22,2,14,1,0,9,Navi Mumbai,Jaiprakash Power,647,9.3,6017.1
18,22,2,15,1,0,2,Vadodara,NTPC Pvt. Ltd.,474,7.8,3697.2
21,23,3,7,1,0,1,Vadodara,KEC International,485,7.8,3783
23,22,2,4,1,0,6,Navi Mumbai,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),426,9.3,3961.8
7,20,0,5,1,0,5,Noida,Power Grid Corp,192,8.2,1574.4
13,22,0,5,1,0,8,Vadodara,Sunil Hitech Eng,408,7.8,3182.4
22,23,0,21,1,0,11,Pune,Optibelt Power Transmission India Private Limited,717,9.1,6524.7
6,23,0,10,7,0,12,Nagpur,Optibelt Power Transmission India Private Limited,576,8.9,5126.4
23,23,1,13,1,0,6,Faridabad,Tata Power Company Ltd.,662,8.1,5362.2
15,22,0,8,1,0,4,Vadodara,NHPC,403,7.8,3143.4
22,23,0,15,1,0,12,Noida,Reliance Power,691,8.2,5666.2
17,22,0,16,12,0,6,Chennai,TransRail Lighting,518,8.8,4558.4
5,20,0,8,1,0,6,Pune,L&T Transmission & Distribution,311,9.1,2830.1
10,18,3,9,1,0,2,Noida,Sterlite Power Transmission Ltd,369,8.2,3025.8
14,23,0,19,1,0,7,Noida,Reliance Energy,585,8.2,4797
20,23,2,12,1,0,8,New Delhi,NHPC,615,8.5,5227.5
20,22,3,3,12,0,4,Vadodara,Guj Ind Power,496,7.8,3868.8
7,19,3,5,1,0,8,Ratnagiri,Reliance Power,470,7.4,3478
21,22,2,3,1,0,8,Mumbai,Jaiprakash Power,601,9.2,5529.2
14,23,1,19,1,0,5,Faridabad,KEC International,608,8.1,4924.8
13,23,3,6,1,0,4,Ratnagiri,NHPC,536,7.4,3966.4
16,23,1,6,1,0,5,Hyderabad,Unitech Power Transmission Ltd.,505,8.4,4242
17,23,3,12,1,0,2,Noida,Guj Ind Power,622,8.2,5100.4
10,23,2,11,1,0,4,Shimla,Toshiba Transmission & Distribution Systems (India) Pvt. Ltd.,404,7.7,3110.8
10,20,2,8,1,0,2,Vadodara,JSW Energy Ltd.,427,7.8,3330.6
11,23,0,20,1,0,1,Gurgaon,Ratnagiri Gas and Power Pvt. Ltd. (RGPPL),450,8.3,3735
12,22,1,19,12,0,10,Chennai,KEC International,706,8.8,6212.8
17,22,3,21,12,0,5,Kolkata,L&T Transmission & Distribution,888,8.7,7725.6
